id,pub,title,url,date,note
P17,Apple Developer,Using alternative browser engines in Japan,https://developer.apple.com/support/alternative-browser-engines-jp/,,
P07,Apple Developer,HCE-based contactless NFC transactions in the EEA,https://developer.apple.com/support/hce-transactions-in-apps/,,
P08,Apple Developer,NFC & SE platform for secure contactless transactions,https://developer.apple.com/support/nfc-se-platform/,,
P09,Apple Developer,Proximity-triggered pairing in the EU,https://developer.apple.com/proximity-pairing/,,
P10,Apple Developer,Changes for apps in the European Union,https://developer.apple.com/support/apps-in-the-eu/,,Cites terms effective 2026-10-01.
P11,Apple Developer,"App Review Guidelines, section 3.1.1(a)",https://developer.apple.com/app-store/review/guidelines/#business,2026-06-08,
P12,Apple Newsroom,"Due to DMA, Siri AI delayed in the EU for iOS 27 and iPadOS 27",https://www.apple.com/newsroom/2026/06/due-to-dma-siri-ai-delayed-in-eu-for-ios-27-and-ipados-27/,2026-06-08,
P13,European Commission,Digital Markets Act: questions and answers for EU citizens,https://digital-markets-act.ec.europa.eu/citizens-and-whistleblower-portal/eu-citizens-qa_en,,
P14,European Commission (Your Europe),Guarantees and returns for goods bought in the EU,https://europa.eu/youreurope/citizens/consumers/shopping/guarantees/indexamp_en.htm,2026-08-20,
P15,Apple Legal,Apple One-Year Limited Warranty (Denmark),https://www.apple.com/legal/warranty/products/denmark-universal-warranty.html,2023-03-01,
P16,Apple Legal,Apple One-Year Limited Warranty for iOS devices (US),https://www.apple.com/legal/warranty/products/ios-warranty-document-us.html,,
H1,Apple Newsroom,"Apple Intelligence is available today on iPhone, iPad, and Mac",https://www.apple.com/newsroom/2024/10/apple-intelligence-is-available-today-on-iphone-ipad-and-mac/,2024-10-28,
H2,Apple Newsroom,"Apple announces changes to iOS, Safari, and the App Store in the European Union",https://www.apple.com/newsroom/2024/01/apple-announces-changes-to-ios-safari-and-the-app-store-in-the-european-union/,2024-01-25,
R1,Apple Support,Self Service Repair,https://support.apple.com/self-service-repair,,
R2,Apple,Apple Store list (per-country retail pages),https://www.apple.com/retail/storelist/,,
R3,Apple Newsroom,Apple Vision Pro upgraded with the M5 chip (country list footnote),https://www.apple.com/newsroom/2025/10/apple-vision-pro-upgraded-with-the-m5-chip-and-dual-knit-band/,2025-10-15,
R4,European Commission,VAT rates applied in the member states of the European Union,https://taxation-customs.ec.europa.eu/taxation/vat/vat-rates_en,,
X2,European Central Bank,"Euro foreign exchange reference rates (daily), 25 Sep 2025 to 24 Sep 2026",https://data-api.ecb.europa.eu/service/data/EXR/D.USD+DKK+SEK+PLN+CZK+HUF.EUR.SP00.A?startPeriod=2025-09-25&endPeriod=2026-09-24&format=csvdata,2026-09-24,
T1,iFixit,Inside the Tiny Unfixable Eye: iPhone 18 Pro and Pro Max teardown (eSIM-model battery labels),https://www.ifixit.com/News/119329/inside-the-tiny-unfixable-eye-iphone-18-pro-and-pro-max-teardown,2026-09-20,
R10,Apple Newsroom,Apple expands Self Service Repair,https://www.apple.com/newsroom/2023/12/apple-expands-self-service-repair-and-introduces-new-diagnostics-process/,2023-12-13,
R5,Apple,Apple One pages for the other EU storefronts (apple.com/<country>/apple-one),https://www.apple.com/ie/apple-one/,,"AT, BE, CZ, FI, HU, IE, IT, LU, PL, PT, ES; extracts in research/raw/2026-09-25."
X3,Tax Foundation,"State and Local Sales Tax Rates, Midyear 2026",https://taxfoundation.org/data/all/state/2026-sales-tax-rates-midyear/,2026-07-06,
